,A,B,C
0,0.6668940675750209,0.11103531080832636,0.22207062161665275
1,0.6770709456654705,0.10764301811150982,0.21528603622301962
2,0.7237912309225675,0.09206958969247751,0.184139179384955
3,0.6910531959811775,0.10298226800627415,0.20596453601254833
4,0.6920898484801459,0.10263671717328471,0.20527343434656942
5,0.7894212533364096,0.07019291555453015,0.14038583110906028
6,0.654230577666338,0.11525647411122068,0.23051294822244134
7,0.6482188130952391,0.1172603956349203,0.2345207912698406
8,0.749599136726631,0.08346695442445633,0.16693390884891263
9,0.7079469972267387,0.09735100092442044,0.19470200184884084
10,0.7109884287565967,0.09633719041446775,0.1926743808289355
11,0.11857598924234163,0.6442720322729751,0.23715197848468322
12,0.09856538926301062,0.7043038322109682,0.19713077852602123
13,0.10880703814681218,0.6735788855595635,0.21761407629362434
14,0.09450979618056161,0.7164706114583151,0.18901959236112326
15,0.11091422231616244,0.6672573330515127,0.22182844463232487
16,0.12472305784690903,0.6258308264592729,0.24944611569381808
17,0.11737563794369381,0.6478730861689186,0.2347512758873876
18,0.09626929992980593,0.7111921002105822,0.19253859985961186
19,0.1090019436505429,0.6729941690483713,0.21800388730108583
20,0.10503983815818023,0.6848804855254593,0.21007967631636043
21,0.07203595700624026,0.14407191401248048,0.7838921289812792
22,0.08747862237175937,0.17495724474351876,0.7375641328847219
23,0.10526864214702887,0.21053728429405777,0.6841940735589134
24,0.10589315642065648,0.21178631284131294,0.6823205307380306
25,0.13092111310623308,0.2618422262124661,0.6072366606813008
26,0.1264784916506583,0.25295698330131666,0.6205645250480251
27,0.06966052666971993,0.13932105333943984,0.7910184199908402
28,0.108261628122497,0.21652325624499397,0.675215115632509
29,0.1188842612909079,0.2377685225818158,0.6433472161272763
